Advertisement,Advertisement No,Advertisement Date,Location,Price,Gross Area,Net Area,Age,Room,Floor,Heating,Furnished,House URL
"MODA'NIN KALBİNDE, GENÇ ASANSÖRLÜ BİNADA GENİŞ VE KONFORLU DAİRE!",Portföy No: P84087234,02-13-2025,İstanbul Anadolu / Kadıköy/ Caferağa Mah.,17.750.000 ₺,180,140,16-20,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84087234
Yatırıma Uygun Kentsel Dönüşüm Avantajı Metro 5 dk Fırsat Daire,Portföy No: P83207274,02-13-2025,İstanbul Anadolu / Üsküdar/ Cumhuriyet Mah.,6.100.000 ₺,155,140,26-30,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83207274
"Fenerbahçe & Ayanoğlu Rezidans’ta Bahçe Peyzaj Manzaralı, Güvenlikli, 4+1",Portföy No: P05343142,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,34.500.000 ₺,187,143,9,4+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P05343142
Nef Çekmeköy Çamlıtepe Satılık 1 + 1 Ara Kat Köşe Boş Daire,Portföy No: P07083853,02-13-2025,İstanbul Anadolu / Çekmeköy/ Nişantepe Mah.,5.750.000 ₺,65,45,5,1+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P07083853
BEYKOZ KANLICA'DA 3+1 EŞSİZ BOĞAZ MANZARALI SATILIK DAİRE,Portföy No: P10175805,02-13-2025,İstanbul Anadolu / Beykoz/ Kanlıca Mah.,8.350.000 ₺,125,100,30+,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10175805
Sancaktepe Kemal Türkler Mahallesi Satılık 2 + 1 Daire,Portföy No: P02165450,02-13-2025,İstanbul Anadolu / Sancaktepe/ Kemal Türkler Mah.,3.175.000 ₺,85,65,10-15,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02165450
Çekmeköy Aydınlar mh. 2+1 Satılık Daire REMAX MASAL Tuğba Özakbulut,Portföy No: P23722643,02-13-2025,İstanbul Anadolu / Çekmeköy/ Aydınlar Mah.,3.650.000 ₺,85,70,9,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23722643
Caddeye ve sahile yürüme mesafesinde katta tek 4+1,Portföy No: P24046424,02-13-2025,İstanbul Anadolu / Kadıköy/ Bostancı Mah.,15.900.000 ₺,180,149,26-30,4+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24046424
ÜMRANIYE ALTINŞEHIR SITESINDE 3+1 SATILIK DAIRE,Portföy No: P22727603,02-13-2025,İstanbul Anadolu / Ümraniye/ Altınşehir Mah.,3.750.000 ₺,120,100,26-30,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22727603
PENDİK KURTKÖY HARMANDERE AKASYAPORT SATILIK 4.5+1 BOZMA 3.5 +1 TAM TADİLATLI FULL LÜX EŞYALI DAİRE,Portföy No: P30885001,02-13-2025,İstanbul Anadolu / Pendik/ Harmandere Mah.,17.000.000 ₺,214,150,3,3+1,8,Merkezi (Pay Ölçer),Evet,https://www.remax.com.tr/portfoy/P30885001
Maltepe Bağlarbaşı Mahallesi Sahil Lokasyonunda Satılık 3+2 Dublex Daire,Portföy No: P81302063,02-13-2025,İstanbul Anadolu / Maltepe/ Bağlarbaşı Mah.,9.400.000 ₺,168,136,10-15,3+2,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81302063
KADIKÖY MODA EN GÜZEL NOKTADA YENİLENMİŞ HARİKA 3+1 DAİRE,Portföy No: P20387677,02-13-2025,İstanbul Anadolu / Kadıköy/ Caferağa Mah.,24.500.000 ₺,145,125,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P20387677
Erenköy'de 3 Oda 1 Salon/140m²  - Ebeveyn Banyolu -3.Kat \1989 Yapımı,Portföy No: P40514550,02-13-2025,İstanbul Anadolu / Kadıköy/ Erenköy Mah.,9.500.000 ₺,140,110,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P40514550
1225591670 KARTAL TEKNİK YAPI UPCITY FLATS SİTESİ 2+1 SATILIK DAİRE,Portföy No: P12230328,02-13-2025,İstanbul Anadolu / Kartal/ Uğur Mumcu Mah.,6.250.000 ₺,90,80,10-15,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12230328
KOZYATAĞI BELEDIYE BLOKLARINDA IÇI YAPILI SATILIK 2+1,Portföy No: P24881132,02-13-2025,İstanbul Anadolu / Kadıköy/ Kozyatağı Mah.,5.150.000 ₺,85,65,30+,2+1,2,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P24881132
Göztepe Merdivenköy Satılık Sıfır 3+1 Daire,Portföy No: P13711083,02-13-2025,İstanbul Anadolu / Kadıköy/ Merdivenköy Mah.,13.450.000 ₺,100,85,3,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13711083
ŞAŞKINBAKKAL'DA CADDE'YE CEPHELİ VE 2. BİNADA İŞ YERİNE UYGUN 3+1 DAİRE,Portföy No: P78070047,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,24.750.000 ₺,130,100,5,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78070047
AVŞAR SOKAKTA ADALAR MANZARALI YENI 3+1 SATILIK,Portföy No: P46255445,02-13-2025,İstanbul Anadolu / Kadıköy/ Kozyatağı Mah.,14.900.000 ₺,125,95,5,3+1,11,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P46255445
Vatandaşlığa uygun Kadıköy Acıbadem Yıldızbakkal dubleks daire,Portföy No: P24825831,02-13-2025,İstanbul Anadolu / Kadıköy/ Acıbadem Mah.,14.750.000 ₺,177,158,5,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24825831
Remax Anı 'Dan Tantavi 'De Lüks Satılık Dublex Daire,Portföy No: P25362040,02-13-2025,İstanbul Anadolu / Ümraniye/ Tantavi Mah.,17.750.000 ₺,290,260,4,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25362040
KARTAL UĞUR MUMCU MH UPCITY FLATS SİTESİ 2+1 SATILIK DAİRE,Portföy No: P85275087,02-13-2025,İstanbul Anadolu / Kartal/ Uğur Mumcu Mah.,6.150.000 ₺,92,71,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85275087
Deluxia Dragos'da Modern ve Ferah 3+1 Daire Satılık,Portföy No: P40103017,02-13-2025,İstanbul Anadolu / Maltepe/ Cevizli Mah.,9.500.000 ₺,144,108,10-15,3+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P40103017
MALTEPE  YALI MAH.  DRAGOS KONAKLARI SİTESİNDE  4+1  BAHÇE KATI  LÜKS DAİRE,Portföy No: P61560663,02-13-2025,İstanbul Anadolu / Maltepe/ Yalı Mah.,29.900.000 ₺,235,187,10-15,4+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P61560663
Referans Kartal Towers 2+1 Odalarda Özel Dolaplı Sat. Daire Sağlık & Konfor & Huzur Arayanlara...,Portföy No: P41118402,02-13-2025,İstanbul Anadolu / Kartal/ Atalar Mah.,7.750.000 ₺,122,80,6,2+1,11,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P41118402
KALAMIŞIN KALBİNDE 4+1 EŞSİZ YALI DAİRESİ,Portföy No: P04112456,02-13-2025,İstanbul Anadolu / Kadıköy/ Fenerbahçe Mah.,35.000.000 ₺,220,200,30+,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04112456
SALACAK'DA KOZA MESKEN PROJESİNDE EŞSİZ SATILIK DAİRE - HESNA YILMAZ,Portföy No: P18450806,02-13-2025,İstanbul Anadolu / Üsküdar/ Aziz Mahmut Hüdayi Mah.,42.000.000 ₺,130,100,4,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P18450806
KUZGUNCUK'DA İSKANLI BOĞAZ MANZARALI KİRACISIZ SATILIK 4+1 DAİRE,Portföy No: P58427241,02-13-2025,İstanbul Anadolu / Üsküdar/ Kuzguncuk Mah.,18.000.000 ₺,170,140,30+,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58427241
KARTAL'DA ADALAR VE DENİZ MANZARALI TERASLI 6+2 SATILIK DUBLEKS,Portföy No: P16728558,02-13-2025,İstanbul Anadolu / Kartal/ Çavuşoğlu Mah.,15.950.000 ₺,300,230,21-25,6+2,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16728558
