Advertisement,Advertisement No,Advertisement Date,City,District,Neighborhood,Price (try),Gross Area (m2),Net Area (m2),Building Age,Room,Floor,Heating,Furnished,Advertisement Link
"MODA'NIN KALBİNDE, GENÇ ASANSÖRLÜ BİNADA GENİŞ VE KONFORLU DAİRE!",P84087234,2025-02-13,İstanbul,Kadıköy, Caferağa,17750000,180,140,16-20,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84087234
Yatırıma Uygun Kentsel Dönüşüm Avantajı Metro 5 dk Fırsat Daire,P83207274,2025-02-13,İstanbul,Üsküdar, Cumhuriyet,6100000,155,140,26-30,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83207274
"Fenerbahçe & Ayanoğlu Rezidans’ta Bahçe Peyzaj Manzaralı, Güvenlikli, 4+1",P05343142,2025-02-13,İstanbul,Kadıköy, Fenerbahçe,34500000,187,143,9,4+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P05343142
Nef Çekmeköy Çamlıtepe Satılık 1 + 1 Ara Kat Köşe Boş Daire,P07083853,2025-02-13,İstanbul,Çekmeköy, Nişantepe,5750000,65,45,5,1+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P07083853
BEYKOZ KANLICA'DA 3+1 EŞSİZ BOĞAZ MANZARALI SATILIK DAİRE,P10175805,2025-02-13,İstanbul,Beykoz, Kanlıca,8350000,125,100,30+,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10175805
Sancaktepe Kemal Türkler Mahallesi Satılık 2 + 1 Daire,P02165450,2025-02-13,İstanbul,Sancaktepe, Kemal Türkler,3175000,85,65,10-15,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02165450
Çekmeköy Aydınlar mh. 2+1 Satılık Daire REMAX MASAL Tuğba Özakbulut,P23722643,2025-02-13,İstanbul,Çekmeköy, Aydınlar,3650000,85,70,9,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23722643
Caddeye ve sahile yürüme mesafesinde katta tek 4+1,P24046424,2025-02-13,İstanbul,Kadıköy, Bostancı,15900000,180,149,26-30,4+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24046424
ÜMRANIYE ALTINŞEHIR SITESINDE 3+1 SATILIK DAIRE,P22727603,2025-02-13,İstanbul,Ümraniye, Altınşehir,3750000,120,100,26-30,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22727603
PENDİK KURTKÖY HARMANDERE AKASYAPORT SATILIK 4.5+1 BOZMA 3.5 +1 TAM TADİLATLI FULL LÜX EŞYALI DAİRE,P30885001,2025-02-13,İstanbul,Pendik, Harmandere,17000000,214,150,3,3+1,8,Merkezi,Evet,https://www.remax.com.tr/portfoy/P30885001
